Date,Close,High,Low,Open,trend
2018-01-01,112.66,112.69,112.64,112.67,112.99914132315371
2018-01-02,112.3,112.8,112.06,112.67,112.82482847434378
2018-01-03,112.5,112.61,112.17,112.3,112.65030366220685
2018-01-04,112.75,112.87,112.46,112.5,112.4750269056195
2018-01-05,113.08,113.32,112.72,112.75,112.29836428366943
2018-01-08,113.09,113.39,112.89,113.06,112.11985373362822
2018-01-09,112.66,113.19,112.36,113.11,111.93952171509015
2018-01-10,111.44,112.78,111.28,112.66,111.75800102906595
2018-01-11,111.25,111.89,111.05,111.44,111.57637477549444
2018-01-12,111.04,111.7,110.91,111.26,111.39552730367127
2018-01-15,110.54,111.2,110.32,111.07,111.2161389786575
2018-01-16,110.45,110.98,110.25,110.55,111.03866796094933
2018-01-17,111.28,111.34,110.19,110.44,110.86314982418136
2018-01-18,111.11,111.5,110.7,111.3,110.68925222451261
2018-01-19,110.78,111.14,110.5,111.11,110.51690334946201
2018-01-22,110.92,111.23,110.52,110.62,110.34629435390816
2018-01-23,110.31,111.19,110.25,110.92,110.17778082813625
2018-01-24,109.22,110.34,108.97,110.31,110.01207692846026
2018-01-25,109.41,109.7,108.5,109.22,109.84997944817673
2018-01-26,108.72,109.78,108.28,109.42,109.69179013250186
2018-01-29,108.95,109.2,108.5,108.69,109.53753573949686
2018-01-30,108.78,109.22,108.42,108.97,109.38663565839009
2018-01-31,109.19,109.45,108.58,108.78,109.23814206857267
2018-02-01,109.41,109.75,109.09,109.19,109.09072800214932
2018-02-02,110.11,110.48,109.28,109.41,108.9430364024318
2018-02-05,109.11,110.31,108.98,110.11,108.7939097577305
2018-02-06,109.56,109.66,108.44,109.08,108.64291990860431
2018-02-07,109.33,109.72,108.92,109.56,108.48983625201359
2018-02-08,108.75,109.78,108.58,109.31,108.33500135997579
2018-02-09,108.8,109.31,108.05,108.75,108.17928290685087
2018-02-12,108.66,108.95,108.44,108.81,108.02380794114882
2018-02-13,107.83,108.78,107.39,108.64,107.87009145956279
2018-02-14,107.02,107.91,106.72,107.83,107.72004607882269
2018-02-15,106.12,107.03,106.03,107.0,107.57555935849615
2018-02-16,106.31,106.41,105.53,106.14,107.43808132935163
2018-02-19,106.6,106.73,106.09,106.33,107.30815229755842
2018-02-20,107.33,107.39,106.56,106.61,107.18560751845499
2018-02-21,107.78,107.92,107.27,107.33,107.06983965219382
2018-02-22,106.75,107.81,106.59,107.78,106.96033160422837
2018-02-23,106.89,107.14,106.48,106.75,106.8570101302295
2018-02-26,106.94,107.3,106.38,106.84,106.75967052861542
2018-02-27,107.33,107.69,106.78,106.94,106.66812871647292
2018-02-28,106.67,107.53,106.55,107.33,106.58231331680844
2018-03-01,106.24,107.2,106.16,106.67,106.50256662218064
2018-03-02,105.75,106.31,105.25,106.23,106.42928572932506
2018-03-05,106.2,106.25,105.36,105.69,106.36270363083844
2018-03-06,106.12,106.47,105.84,106.2,106.30262876573661
2018-03-07,106.08,106.22,105.44,106.12,106.2487678832661
2018-03-08,106.2,106.31,105.88,106.06,106.20071358969484
2018-03-09,106.8,107.06,106.16,106.25,106.15795301136373
2018-03-12,106.42,106.97,106.31,106.81,106.11997282862004
2018-03-13,106.58,107.31,106.25,106.42,106.08666100117891
2018-03-14,106.33,106.75,106.05,106.56,106.05809300573765
2018-03-15,106.34,106.42,105.78,106.33,106.0346526558678
2018-03-16,106.02,106.39,105.61,106.34,106.01689370701237
2018-03-19,106.09,106.31,105.67,105.95,106.00556075670447
2018-03-20,106.53,106.61,105.92,106.08,106.00140034391026
2018-03-21,106.06,106.64,105.88,106.53,106.00521178212298
2018-03-22,105.28,106.09,105.25,106.06,106.01812475962097
2018-03-23,104.74,105.36,104.64,105.29,106.04130320731869
2018-03-26,105.41,105.49,104.56,104.73,106.07544972815577
2018-03-27,105.34,105.92,105.33,105.41,106.12045361056731
2018-03-28,106.86,107.02,105.31,105.33,106.17578823690826
2018-03-29,106.43,106.93,106.25,106.85,106.24043920602699
2018-03-30,106.28,106.55,106.11,106.42,106.31381974912381
2018-04-02,105.89,106.45,105.66,106.25,106.39546157289527
2018-04-03,106.61,106.67,105.69,105.89,106.48487524669467
2018-04-04,106.78,106.85,105.98,106.61,106.58125542639232
2018-04-05,107.38,107.5,106.71,106.77,106.6838749708294
2018-04-06,106.93,107.47,106.78,107.39,106.79213095420563
2018-04-09,106.77,107.22,106.61,106.92,106.905855528864
2018-04-10,107.2,107.41,106.61,106.81,107.024967015301
2018-04-11,106.8,107.25,106.64,107.2,107.14929882430766
2018-04-12,107.33,107.44,106.69,106.8,107.27879376229036
2018-04-13,107.34,107.78,107.19,107.33,107.41317632389038
2018-04-16,107.11,107.62,107.03,107.38,107.55220300764759
2018-04-17,107.0,107.22,106.86,107.12,107.69558457689939
2018-04-18,107.23,107.39,106.98,106.98,107.84275541810337
2018-04-19,107.38,107.53,107.17,107.23,107.99271517735653
2018-04-20,107.67,107.86,107.36,107.38,108.14408052861963
2018-04-23,108.71,108.76,107.63,107.63,108.29508519886761
2018-04-24,108.82,109.2,108.54,108.7,108.44366661474498
2018-04-25,109.42,109.47,108.8,108.81,108.58802152464693
2018-04-26,109.31,109.47,109.06,109.42,108.72658188533447
2018-04-27,109.05,109.55,108.97,109.31,108.85829964011569
2018-04-30,109.33,109.45,109.0,109.0,108.98249136862043
2018-05-01,109.86,109.89,109.23,109.34,109.0985934632034
2018-05-02,109.84,110.03,109.58,109.86,109.20625950911386
2018-05-03,109.19,109.89,108.94,109.83,109.30561897068664
2018-05-04,109.12,109.28,108.64,109.19,109.39719740006332
2018-05-07,109.09,109.41,108.75,109.12,109.48144808752889
2018-05-08,109.12,109.36,108.83,109.08,109.55865107499328
2018-05-09,109.75,109.83,108.97,109.11,109.62884174931159
2018-05-10,109.39,110.03,109.31,109.75,109.69178134041708
2018-05-11,109.39,109.58,109.14,109.41,109.7473068021497
2018-05-14,109.66,109.67,109.2,109.39,109.7950664750116
2018-05-15,110.35,110.46,109.65,109.66,109.8344853827536
2018-05-16,110.39,110.41,110.02,110.34,109.8649041325796
2018-05-17,110.77,110.86,110.06,110.39,109.88598552832936
2018-05-18,110.75,111.08,110.61,110.78,109.89772055875976
2018-05-21,111.06,111.41,110.72,110.72,109.9006527216724
2018-05-22,110.89,111.19,110.8,111.06,109.89585818951974
2018-05-23,110.08,110.93,109.54,110.9,109.88513772680315
2018-05-24,109.25,110.11,108.95,110.08,109.87091343665557
2018-05-25,109.39,109.75,109.11,109.25,109.85572921113067
2018-05-28,109.42,109.83,109.23,109.56,109.84174087138413
2018-05-29,108.77,109.47,108.11,109.42,109.83081315781469
2018-05-30,108.91,109.08,108.33,108.75,109.8245472227764
2018-05-31,108.82,109.01,108.38,108.9,109.82388121039979
2018-06-01,109.55,109.75,108.72,108.81,109.82918167280113
2018-06-04,109.81,109.86,109.38,109.5,109.8401877363402
2018-06-05,109.8,110.02,109.47,109.83,109.8564640388312
2018-06-06,110.17,110.28,109.78,109.8,109.87755635075321
2018-06-07,109.7,110.22,109.48,110.19,109.90297515256094
2018-06-08,109.55,109.87,109.19,109.71,109.93241370198996
2018-06-11,110.03,110.12,109.22,109.47,109.9654383973054
2018-06-12,110.38,110.5,109.98,110.03,110.0013766282087
2018-06-13,110.34,110.86,110.26,110.38,110.0395961354029
2018-06-14,110.63,110.7,109.9,110.33,110.07970129919846
2018-06-15,110.67,110.92,110.39,110.62,110.12148425232128
2018-06-18,110.55,110.75,110.3,110.67,110.16508106418516
2018-06-19,110.06,110.58,109.55,110.56,110.21097062654624
2018-06-20,110.36,110.45,109.85,110.06,110.25987240549543
2018-06-21,110.0,110.77,109.83,110.36,110.31241151048211
2018-06-22,109.97,110.22,109.79,109.98,110.36927563070225
2018-06-25,109.78,110.03,109.36,109.92,110.4309571981578
2018-06-26,110.06,110.22,109.36,109.75,110.49769909758153
2018-06-27,110.26,110.49,109.68,110.06,110.56933736545744
2018-06-28,110.5,110.66,109.97,110.25,110.64543447633356
2018-06-29,110.68,110.95,110.39,110.49,110.72535956890445
2018-07-02,110.89,111.06,110.48,110.67,110.80839088531695
2018-07-03,110.59,111.14,110.5,110.91,110.89377831798737
2018-07-04,110.47,110.64,110.28,110.61,110.98082276502866
2018-07-05,110.62,110.72,110.3,110.47,111.06863526310505
2018-07-06,110.46,110.79,110.36,110.62,111.15600758465263
2018-07-09,110.85,110.91,110.31,110.5,111.24145110506804
2018-07-10,111.0,111.36,110.8,110.86,111.32304219500756
2018-07-11,112.02,112.19,110.77,110.98,111.39861256818672
2018-07-12,112.56,112.64,111.91,112.02,111.46579203694918
2018-07-13,112.38,112.81,112.28,112.56,111.5225987807835
2018-07-16,112.3,112.56,112.19,112.36,111.56773485915517
2018-07-17,112.87,112.94,112.22,112.29,111.60043820729177
2018-07-18,112.86,113.16,112.72,112.89,111.62040442613387
2018-07-19,112.47,113.17,112.06,112.86,111.6281225927425
2018-07-20,111.41,112.63,111.39,112.46,111.62485653141233
2018-07-23,111.34,111.56,110.75,111.5,111.61239623981757
2018-07-24,111.2,111.52,110.96,111.35,111.59239743030031
2018-07-25,110.97,111.39,110.66,111.2,111.56634556755263
2018-07-26,111.22,111.25,110.58,110.97,111.53548086787275
2018-07-27,111.05,111.25,110.8,111.22,111.5006708315791
2018-07-30,111.07,111.17,110.89,111.04,111.46258578344776
2018-07-31,111.88,111.97,110.78,111.05,111.42161437898503
2018-08-01,111.72,112.16,111.39,111.88,111.37789990758259
2018-08-02,111.66,111.75,111.31,111.7,111.33187214964532
2018-08-03,111.27,111.83,111.08,111.66,111.28417469813598
2018-08-06,111.41,111.53,111.14,111.19,111.23565622592375
2018-08-07,111.39,111.48,111.0,111.41,111.18715654669143
2018-08-08,110.98,111.44,110.83,111.39,111.13962443898063
2018-08-09,111.08,111.19,110.69,110.98,111.09413545849134
2018-08-10,110.94,111.18,110.5,111.09,111.05166539564904
2018-08-13,110.73,110.95,110.12,110.94,111.0131812062177
2018-08-14,111.16,111.33,110.59,110.69,110.97958005508897
2018-08-15,110.75,111.44,110.42,111.14,110.95158211890066
2018-08-16,110.89,111.12,110.47,110.75,110.93002033675614
2018-08-17,110.5,111.06,110.31,110.89,110.91560165893455
2018-08-20,110.07,110.69,110.02,110.52,110.90900802300456
2018-08-21,110.31,110.56,109.78,110.06,110.91066161549809
2018-08-22,110.56,110.62,110.03,110.3,110.92046024293265
2018-08-23,111.3,111.33,110.52,110.55,110.93792629831603
2018-08-24,111.23,111.5,111.11,111.28,110.96235688700418
2018-08-27,111.08,111.36,110.92,111.25,110.99327541041662
2018-08-28,111.19,111.36,110.95,111.08,111.03037254691844
2018-08-29,111.67,111.84,111.11,111.2,111.07339317774318
2018-08-30,110.98,111.78,110.95,111.69,111.12218195128253
2018-08-31,111.04,111.15,110.68,110.99,111.17695639519204
2018-09-03,111.08,111.19,110.85,111.08,111.23784517340789
2018-09-04,111.45,111.55,110.91,111.06,111.30489135211923
2018-09-05,111.53,111.76,111.37,111.45,111.37803934428186
2018-09-06,110.75,111.55,110.53,111.53,111.45732425575649
2018-09-07,111.08,111.27,110.39,110.77,111.54287616781367
2018-09-10,111.12,111.25,110.86,110.97,111.6343830840641
2018-09-11,111.64,111.66,111.06,111.12,111.73124371051358
2018-09-12,111.27,111.66,111.12,111.64,111.83253526374044
2018-09-13,111.92,112.0,111.14,111.25,111.93727793300387
2018-09-14,112.06,112.17,111.75,111.92,112.0441403230232
2018-09-17,111.84,112.14,111.75,111.95,112.1517802398096
2018-09-18,112.36,112.39,111.67,111.86,112.2588654016723
2018-09-19,112.28,112.45,112.17,112.36,112.36386866427063
2018-09-20,112.5,112.59,112.03,112.28,112.46532609238787
2018-09-21,112.58,112.89,112.42,112.48,112.56172133289212
2018-09-24,112.81,112.84,112.28,112.58,112.65155970384377
2018-09-25,112.97,112.97,112.72,112.8,112.73335794747013
2018-09-26,112.73,113.14,112.62,112.97,112.80573183118369
2018-09-27,113.38,113.47,112.55,112.75,112.86744502367979
2018-09-28,113.69,113.72,113.31,113.38,112.91721386125923
2018-10-01,113.92,114.08,113.67,113.69,112.95407502708295
2018-10-02,113.67,114.02,113.51,113.92,112.97754819564864
2018-10-03,114.53,114.55,113.52,113.64,112.98775674456199
2018-10-04,113.92,114.56,113.64,114.55,112.98525683380637
2018-10-05,113.72,114.11,113.55,113.9,112.97156852539976
2018-10-08,113.23,113.94,112.81,113.69,112.94879609583909
2018-10-09,112.95,113.41,112.88,113.22,112.91951159129286
2018-10-10,112.28,113.28,112.23,112.95,112.88646281036974
2018-10-11,112.17,112.53,111.83,112.27,112.85241660693389
2018-10-12,112.2,112.5,111.89,112.17,112.81976079559287
2018-10-15,111.78,112.27,111.62,112.11,112.79045668057492
2018-10-16,112.25,112.33,111.72,111.77,112.76607821561095
2018-10-17,112.65,112.68,111.99,112.26,112.74756781900652
2018-10-18,112.19,112.73,111.97,112.64,112.73554536018239
2018-10-19,112.55,112.65,112.12,112.21,112.73056972867235
2018-10-22,112.83,112.91,112.36,112.5,112.73285884816002
2018-10-23,112.44,112.86,111.94,112.83,112.74251778624861
2018-10-24,112.26,112.75,112.09,112.43,112.75971232376125
2018-10-25,112.42,112.69,111.83,112.25,112.78441916790464
2018-10-26,111.91,112.45,111.38,112.39,112.81630270568323
2018-10-29,112.38,112.56,111.78,111.92,112.85479956212143
2018-10-30,113.09,113.11,112.28,112.38,112.89877992305271
2018-10-31,112.94,113.39,112.8,113.13,112.94681722458417
2018-11-01,112.72,113.0,112.61,112.94,112.997604415371
2018-11-02,113.2,113.33,112.58,112.72,113.04983018330307
2018-11-05,113.19,113.34,113.06,113.19,113.10200971351071
2018-11-06,113.44,113.5,113.11,113.2,113.15275204725965
2018-11-07,113.53,113.83,112.94,113.44,113.20072121974474
2018-11-08,114.06,114.08,113.47,113.52,113.24476079613122
2018-11-09,113.83,114.09,113.64,114.06,113.28392014082208
2018-11-12,113.83,114.2,113.66,113.83,113.31775814272271
2018-11-13,113.81,114.15,113.57,113.83,113.34617499065051
2018-11-14,113.62,114.02,113.3,113.81,113.36939102458362
2018-11-15,113.64,113.72,113.11,113.62,113.38791647513108
2018-11-16,112.83,113.66,112.64,113.64,113.40241820351149
2018-11-19,112.56,112.89,112.42,112.83,113.4137206231465
2018-11-20,112.77,112.84,112.31,112.56,113.42229038608053
2018-11-21,113.06,113.14,112.61,112.77,113.42806056896856
2018-11-22,112.94,113.14,112.86,113.05,113.43055656697425
2018-11-23,112.95,113.02,112.64,112.94,113.4290737374057
2018-11-26,113.59,113.64,112.86,112.94,113.42260083971671
2018-11-27,113.78,113.85,113.41,113.58,113.40982721227518
2018-11-28,113.69,114.03,113.44,113.78,113.38954681792421
2018-11-29,113.48,113.69,113.19,113.69,113.36078497749926
2018-11-30,113.47,113.72,113.33,113.5,113.32275479507456
2018-12-03,113.67,113.86,113.38,113.47,113.27474388411345
2018-12-04,112.78,113.67,112.58,113.66,113.21613188633229
2018-12-05,113.19,113.25,112.64,112.77,113.14654547851987
2018-12-06,112.67,113.22,112.22,113.19,113.06533875503604
2018-12-07,112.73,112.94,112.55,112.67,112.97189296931643
2018-12-10,113.34,113.38,112.25,112.7,112.8653422880748
2018-12-11,113.39,113.47,113.0,113.33,112.74466969491903
2018-12-12,113.28,113.53,113.14,113.39,112.60915483452695
2018-12-13,113.64,113.72,113.2,113.28,112.45848068301703
2018-12-14,113.39,113.69,113.22,113.64,112.29274949473617
2018-12-17,112.83,113.53,112.68,113.32,112.11280197360438
2018-12-18,112.53,112.88,112.25,112.83,111.92016460510752
2018-12-19,112.48,112.66,112.09,112.52,111.71681212349802
2018-12-20,111.28,112.61,110.81,112.47,111.50510041015008
2018-12-21,111.22,111.47,110.94,111.3,111.28786233886069
2018-12-24,110.45,111.21,110.27,110.95,111.06779009567055
2018-12-25,110.28,110.47,110.0,110.44,110.84753345265857
2018-12-26,111.36,111.42,110.14,110.31,110.6293560630939
2018-12-27,111.0,111.39,110.45,111.38,110.41516687183781
2018-12-28,110.28,111.06,110.14,110.97,110.2073314762121
2018-12-31,109.58,110.48,109.55,110.44,110.00858099424369
2019-01-01,109.72,109.79,109.57,109.57,109.82169196178677
2019-01-02,108.88,109.73,108.71,109.67,109.6491730515742
2019-01-03,107.67,108.92,104.97,108.89,109.4934693788627
2019-01-04,108.53,108.59,107.51,107.67,109.35654532575178
2019-01-07,108.72,108.75,108.03,108.55,109.23922560597917
2019-01-08,108.75,109.09,108.44,108.72,109.14181834245397
2019-01-09,108.17,109.0,107.97,108.75,109.06430714208159
2019-01-10,108.42,108.52,107.77,108.16,109.00643072530337
2019-01-11,108.55,108.6,108.14,108.43,108.967368870597
2019-01-14,108.17,108.56,107.97,108.47,108.94593483723672
2019-01-15,108.67,108.77,108.13,108.16,108.94068102895272
2019-01-16,109.09,109.2,108.38,108.69,108.94967489020192
2019-01-17,109.24,109.4,108.68,109.09,108.97081468979813
2019-01-18,109.78,109.89,109.06,109.27,109.00208639974883
2019-01-21,109.67,109.77,109.47,109.75,109.04164423288034
2019-01-22,109.38,109.7,109.14,109.67,109.08812859801918
2019-01-23,109.6,110.0,109.32,109.37,109.14057262634627
2019-01-24,109.64,109.81,109.42,109.58,109.19819186866876
2019-01-25,109.55,109.97,109.45,109.64,109.26048901790236
2019-01-28,109.36,109.61,109.16,109.53,109.32724289704484
2019-01-29,109.39,109.55,109.14,109.36,109.39841327345783
2019-01-30,109.03,109.75,108.81,109.39,109.47398038769234
2019-01-31,108.88,109.08,108.49,109.04,109.55391922200336
2019-02-01,109.5,109.58,108.72,108.89,109.63792727090362
2019-02-04,109.89,110.16,109.43,109.5,109.72528082939203
2019-02-05,109.97,110.03,109.78,109.89,109.81516998792321
2019-02-06,109.97,110.06,109.55,109.97,109.90688778643334
2019-02-07,109.81,110.09,109.61,109.97,109.99982403361618
2019-02-08,109.73,109.91,109.64,109.81,110.09340798329902
2019-02-11,110.38,110.47,109.69,109.83,110.1869502492882
2019-02-12,110.48,110.64,110.33,110.36,110.27953431540047
2019-02-13,111.0,111.06,110.42,110.5,110.37036432154679
2019-02-14,110.48,111.13,110.45,111.01,110.45876969869104
2019-02-15,110.5,110.66,110.25,110.48,110.54447340009612
2019-02-18,110.62,110.67,110.39,110.45,110.62721164796325
2019-02-19,110.62,110.83,110.45,110.61,110.70669286861857
2019-02-20,110.86,110.95,110.52,110.63,110.78262098110827
2019-02-21,110.7,110.89,110.58,110.86,110.85464572143559
2019-02-22,110.69,110.92,110.56,110.69,110.9224651874906
2019-02-25,111.06,111.23,110.56,110.67,110.9856808235874
2019-02-26,110.58,111.09,110.42,111.06,111.04374878329796
2019-02-27,111.0,111.08,110.36,110.58,111.09617166967953
2019-02-28,111.39,111.5,110.66,111.0,111.14216224279986
2019-03-01,111.92,112.08,111.33,111.39,111.18087315543306
2019-03-04,111.75,112.02,111.64,111.77,111.21161195895152
2019-03-05,111.89,112.12,111.7,111.72,111.2341481590055
2019-03-06,111.77,111.94,111.61,111.89,111.24858775377098
2019-03-07,111.59,111.86,111.48,111.77,111.2554466488245
2019-03-08,111.17,111.66,110.78,111.58,111.25556663239658
2019-03-11,111.2,111.31,110.88,111.14,111.24999858856214
2019-03-12,111.36,111.47,111.11,111.2,111.2397399222509
2019-03-13,111.17,111.47,111.0,111.36,111.22575678927473
2019-03-14,111.72,111.84,111.14,111.16,111.20909050799402
2019-03-15,111.47,111.91,111.39,111.7,111.19074754877587
2019-03-18,111.42,111.62,111.28,111.45,111.17205370041991
2019-03-19,111.39,111.48,111.16,111.44,111.15450928450772
2019-03-20,110.69,111.69,110.53,111.41,111.13976958905819
2019-03-21,110.81,110.97,110.3,110.72,111.12963708378737
2019-03-22,109.92,110.91,109.75,110.81,111.12563313241816
2019-03-25,109.97,110.25,109.72,109.86,111.129079325496
2019-03-26,110.64,110.69,109.94,109.97,111.14054373285856
2019-03-27,110.52,110.7,110.22,110.64,111.15986999976509
2019-03-28,110.64,110.83,110.03,110.52,111.18658893164178
2019-03-29,110.86,110.95,110.53,110.62,111.21983141516498
2019-04-01,111.36,111.45,110.81,110.81,111.25838671892875
2019-04-02,111.33,111.47,111.25,111.34,111.30081921689262
2019-04-03,111.48,111.58,111.2,111.33,111.34575679131686
2019-04-04,111.67,111.69,111.33,111.48,111.39184556245108
2019-04-05,111.73,111.81,111.58,111.64,111.43781555255035
2019-04-08,111.48,111.8,111.28,111.72,111.48257063039316
2019-04-09,111.14,111.59,110.98,111.49,111.52519728003756
2019-04-10,111.02,111.28,110.84,111.14,111.56478037889768
2019-04-11,111.67,111.7,110.91,111.03,111.60016405608765
2019-04-12,112.03,112.09,111.58,111.66,111.62985195298477
2019-04-15,112.03,112.09,111.88,112.0,111.65239135843127
2019-04-16,112.0,112.06,111.84,112.05,111.66657965379885
2019-04-17,112.06,112.17,111.92,112.03,111.67145022586014
2019-04-18,111.97,112.08,111.77,112.06,111.6662448491042
2019-04-19,111.92,112.01,111.88,111.97,111.650448141629
2019-04-22,111.94,111.99,111.85,111.93,111.62373456850176
2019-04-23,111.86,112.03,111.64,111.94,111.58594706470114
2019-04-24,112.19,112.41,111.69,111.86,111.53712623110053
2019-04-25,111.64,112.25,111.39,112.19,111.47748395165776
2019-04-26,111.59,112.03,111.42,111.64,111.40764015643627
2019-04-29,111.64,111.91,111.53,111.61,111.32831634802974
2019-04-30,111.42,111.7,111.23,111.66,111.24034800393403
2019-05-01,111.39,111.62,111.05,111.44,111.14476540392747
2019-05-02,111.52,111.67,111.36,111.39,111.04271111028588
2019-05-03,111.11,111.69,111.06,111.52,110.93548095690772
2019-05-06,110.78,110.99,110.28,110.62,110.82466908324757
2019-05-07,110.25,110.86,110.17,110.78,110.71197870316182
2019-05-08,110.11,110.31,109.89,110.25,110.59908511232993
2019-05-09,109.76,110.13,109.47,110.1,110.48737486974188
2019-05-10,109.94,110.05,109.47,109.75,110.37792885619251
2019-05-13,109.31,109.84,109.02,109.75,110.27137334318311
2019-05-14,109.61,109.78,109.14,109.3,110.16806089667988
2019-05-15,109.59,109.72,109.16,109.61,110.06774322430945
2019-05-16,109.86,109.97,109.33,109.61,109.96982324563805
2019-05-17,110.08,110.19,109.5,109.86,109.87340529071669
2019-05-20,110.06,110.33,109.81,110.14,109.77752505006791
2019-05-21,110.5,110.69,110.03,110.06,109.68134733590759
2019-05-22,110.36,110.64,110.25,110.48,109.58421350729526
2019-05-23,109.61,110.38,109.47,110.36,109.48597658120553
2019-05-24,109.31,109.75,109.28,109.61,109.38697444117093
2019-05-27,109.52,109.59,109.28,109.31,109.2876224853607
2019-05-28,109.38,109.64,109.22,109.5,109.18828800291844
2019-05-29,109.59,109.7,109.14,109.38,109.08948351893437
2019-05-30,109.61,109.94,109.47,109.61,108.99184137849696
2019-05-31,108.28,109.64,108.28,109.62,108.89630674949528
2019-06-03,108.08,108.45,107.89,108.38,108.80421114895702
2019-06-04,108.14,108.36,107.83,108.08,108.7165009021914
2019-06-05,108.47,108.5,107.81,108.14,108.6336697025395
2019-06-06,108.42,108.58,108.03,108.47,108.55585093027862
2019-06-07,108.19,108.62,107.89,108.42,108.48307567212188
2019-06-10,108.44,108.72,108.33,108.56,108.415290107951
2019-06-11,108.52,108.81,108.36,108.45,108.35225724535258
2019-06-12,108.5,108.58,108.22,108.52,108.29375553559575
2019-06-13,108.39,108.55,108.17,108.52,108.2396682691713
2019-06-14,108.56,108.59,108.16,108.38,108.19000763936023
2019-06-17,108.56,108.72,108.41,108.44,108.14487979677531
2019-06-18,108.45,108.69,108.06,108.55,108.10462213725474
2019-06-19,108.11,108.62,107.91,108.45,108.0698315067637
2019-06-20,107.31,108.14,107.22,108.09,108.04132061243169
2019-06-21,107.31,107.75,107.06,107.31,108.01992726669643
2019-06-24,107.3,107.55,107.25,107.41,108.0060322066129
2019-06-25,107.19,107.42,106.78,107.31,107.99957246469437
2019-06-26,107.78,107.86,107.09,107.19,108.00004380332493
2019-06-27,107.8,108.17,107.64,107.8,108.00643600209827
2019-06-28,107.89,107.94,107.56,107.8,108.01760131323097
2019-07-01,108.44,108.55,108.11,108.11,108.03226296643831
2019-07-02,107.89,108.48,107.77,108.44,108.04906444061474
2019-07-03,107.83,107.93,107.53,107.89,108.06690405030072
2019-07-04,107.81,107.86,107.71,107.8,108.08458069476127
2019-07-05,108.47,108.64,107.78,107.81,108.10074520823001
2019-07-08,108.72,108.81,108.28,108.44,108.11387681200637
2019-07-09,108.86,108.97,108.67,108.72,108.12268551163459
2019-07-10,108.47,108.98,108.33,108.84,108.12626013965152
2019-07-11,108.5,108.53,107.86,108.47,108.12415035014921
2019-07-12,107.91,108.61,107.8,108.48,108.1161206346325
2019-07-15,107.92,108.11,107.8,107.88,108.1021703906373
2019-07-16,108.24,108.39,107.83,107.92,108.08217019030295
2019-07-17,107.94,108.33,107.94,108.25,108.05587674927456
2019-07-18,107.3,108.02,107.2,107.94,108.02314542682834
2019-07-19,107.72,107.97,107.22,107.3,107.9837591592721
2019-07-22,107.88,108.08,107.7,107.8,107.93704891702188
2019-07-23,108.22,108.3,107.83,107.84,107.88218082101918
2019-07-24,108.19,108.28,107.94,108.22,107.81828533663224
